,text,hashtags
0,great junior conversation happy received, 
1,saludos amigo siguiente publicación recordamos cuando hija se fracturó clavícula comunidad,
2,enjoyed afternoon fair child number 3 afternoon lying grass eating lunch litt…, 
3,toddler give new thing bubble,parenting theoffice
4,friday night costco food lion cut grass tax, 
5,stop chewing ear stop spitting easter egg anybody else trying wrangle five six year…, 
6,reminder father end placing wife child lifeboat saved life kno…, 
7,eating mozzarella stick ask boy “does anyone fish sticks” resounding “no” follow…, 
8,little dude played 2k22 time wore hammer daddy look, 
9,kid still father figure,bestdadever blackdadsmatter blackfatherhood dadbod
10,💪💪💪 great seeing guy, 
11,four word reading difference,parenting edutwitter kidsbooks teacher
12,9 nerf night ninja lab banished parking parent allowed 🤦🏻‍♂️😂…so parking laps…, 
13,❤️here life sunshine dark cloud happiness sadness pa ner crime b…, 
14,every child unique parent remain,citydads
15,dynamic duo monster might 11 🤷🏽‍♂️, 
16,great junior conversation happy received, 
17,fun thing pack kid lunch cut crust mth friday surprise w…, 
18,eating mozzarella stick ask boy “does anyone fish sticks” resounding “no” follow…, 
19,toddler give new thing bubble,parenting theoffice
20,never dull moment hope feel better, 
21,sings “it’s begun” congrats, 
22,let play weve favorite spo one spot you⚽🏀⚾🏈,local dallas thin
23,wanna enough money stay home help raise future…, 
24,kid still father figure,bestdadever blackdadsmatter blackfatherhood dadbod
25,four word reading difference,parenting edutwitter kidsbooks teacher
26,memory,driving rocknroll parenting
27,great junior conversation happy received, 
28,little dude played 2k22 time wore hammer daddy look, 
29,little dude played 2k22 time wore hammer daddy look…, 
30,reminder father end placing wife child lifeboat saved life kno…, 
31,scott field, 
32,life, 
33,pause celebrate beauty life matter small,dadwisdom morningthoughts morningmotivation
34,great junior conversation happy received, 
35,made way much vegan minestrone tonight never cooked black lentil th…, 
36,one fudge around find, 
37,fun thing pack kid lunch cut crust mth friday surprise w…, 
38,latest dada weekly thanks,citydads
39,daughter brings much color life, 
40,scott field, 
41,back work hour shift sta ing end home relieve mum long da…, 
42,great way end 💩 week ⛳,golf fridayvibes
43,⚡ new drop ⚡ 19 20 21 22 collection available theyre piece made min…, 
44,watching kid nerf classbattle event… obnoxious fck pop nerf da 😂🤣😂🤣…, 
45,friday night costco food lion cut grass tax, 
46,special date little goddess,girldad
47,little dude played 2k22 time wore hammer daddy look, 
48,korbens first solo bath looking meanhe a…, 
49,wanna enough money stay home help raise future…, 
50,standard morning household… fox news coffee mia watching ca oons 👌🏻☕️🌸, 
51,, 
52,saludos amigo siguiente publicación recordamos cuando hija se fracturó clavícula comuni…,
53,great way end 💩 week ⛳,golf fridayvibes
54,testicular cancer kill learn thy nut,citydads
55,proudest planet dressed 🐣 little literally everything ❤️❤️,easter
56,yuhhhh, 
57,congrats, 
58,great junior conversation happy received, 
59,,bosslife entrepreneur maintainyourlife lovewhatyoudo
60,little dude played 2k22 time wore hammer daddy look, 
61,reminder father end placing wife child lifeboat saved life kno…, 
62,whale someone break floor,dadvibes
